Country,Language,,,,,,,,,,,,,,,,,,,,,,,,,
 Kurdistan,Northern Kurdish,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Pashto,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Uzbek,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Albanian,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Maghrebi Arabic French,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,Armenian,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,Classical Armenian,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,English,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Murrinhpatha,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Warlpiri,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,German,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Azerbaijani,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Bengali,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Pnar,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,Belarusian,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,Yiddish,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Limburgan,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Walloon,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Yoruba,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Quechua,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia,Serbo Croatian,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia-Herzegovina,Serbian,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,!Xóõ,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Tswana,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Mbya Guarani,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Bulgarian,,,,,,,,,,,,,,,,,,,,,,,,,
Buryatia,Buryat,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,English,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Haida,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Inuktitut,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Ojibwa,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Mapudungun,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,
China,Khaling,,,,,,,,,,,,,,,,,,,,,,,,,
China,Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,
China,Buriat,,,,,,,,,,,,,,,,,,,,,,,,,
China,Mandarin Chinese,,,,,,,,,,,,,,,,,,,,,,,,,
China,Uighur,,,,,,,,,,,,,,,,,,,,,,,,,
China,Cantonese,,,,,,,,,,,,,,,,,,,,,,,,,
China,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,
China,Classical Chinese,,,,,,,,,,,,,,,,,,,,,,,,,
China,Uyghur,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros Islands,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Serbo Croatian,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Serbian,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Croatian,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Hittite,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Czech,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Old Church Slavonic,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Danish,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Faroese,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Old Saxon,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Kalaallisut,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Old Norse,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Egyptian Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Coptic,,,,,,,,,,,,,,,,,,,,,,,,,
England ,Old English,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Estonian,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Võro,,,,,,,,,,,,,,,,,,,,,,,,,
